fin_year,flow,budget_category,budget_entry,flow_type,value
2012,expenditure,Ministries and Departments,Co-operative,General Expenditure,1184.95161
2012,expenditure,Ministries and Departments,Co-operative,General Expenditure,125.235
2012,expenditure,Ministries and Departments,Co-operative,Interest payments,0
2012,expenditure,Ministries and Departments,Co-operative,Interest payments,0
2012,expenditure,Ministries and Departments,Co-operative,Aid,0
2012,expenditure,Ministries and Departments,Co-operative,Aid,0
2012,expenditure,Ministries and Departments,Co-operative,Capital Expenditure,161.75233
2012,expenditure,Ministries and Departments,Co-operative,Capital Expenditure,0
2012,expenditure,Ministries and Departments,Co-operative,Borrowing,0
2012,expenditure,Ministries and Departments,Co-operative,Borrowing,0
2012,expenditure,Ministries and Departments,Co-operative,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Co-operative,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Co-operative,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Co-operative,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Co-operative,Savings,0
2012,expenditure,Ministries and Departments,Co-operative,Savings,0
2012,expenditure,Ministries and Departments,Commerce,General Expenditure,5407.093
2012,expenditure,Ministries and Departments,Commerce,General Expenditure,106.877
2012,expenditure,Ministries and Departments,Commerce,Interest payments,0
2012,expenditure,Ministries and Departments,Commerce,Interest payments,0
2012,expenditure,Ministries and Departments,Commerce,Aid,0.32
2012,expenditure,Ministries and Departments,Commerce,Aid,0
2012,expenditure,Ministries and Departments,Commerce,Capital Expenditure,140.8756
2012,expenditure,Ministries and Departments,Commerce,Capital Expenditure,37.085
2012,expenditure,Ministries and Departments,Commerce,Borrowing,0
2012,expenditure,Ministries and Departments,Commerce,Borrowing,0
2012,expenditure,Ministries and Departments,Commerce,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Commerce,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Commerce,Investment in Orgs,1500
2012,expenditure,Ministries and Departments,Commerce,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Commerce,Savings,0
2012,expenditure,Ministries and Departments,Commerce,Savings,0
2012,expenditure,Ministries and Departments,"Communications, Posts And Telegraphs",General Expenditure,267549.051
2012,expenditure,Ministries and Departments,"Communications, Posts And Telegraphs",General Expenditure,177100.808
2012,expenditure,Ministries and Departments,"Communications, Posts And Telegraphs",Interest payments,0
2012,expenditure,Ministries and Departments,"Communications, Posts And Telegraphs",Interest payments,0
2012,expenditure,Ministries and Departments,"Communications, Posts And Telegraphs",Aid,0.68
2012,expenditure,Ministries and Departments,"Communications, Posts And Telegraphs",Aid,0
2012,expenditure,Ministries and Departments,"Communications, Posts And Telegraphs",Capital Expenditure,53381.20157
2012,expenditure,Ministries and Departments,"Communications, Posts And Telegraphs",Capital Expenditure,23.226
2012,expenditure,Ministries and Departments,"Communications, Posts And Telegraphs",Borrowing,0
2012,expenditure,Ministries and Departments,"Communications, Posts And Telegraphs",Borrowing,0
2012,expenditure,Ministries and Departments,"Communications, Posts And Telegraphs",Expenditure for loans,82.489
2012,expenditure,Ministries and Departments,"Communications, Posts And Telegraphs",Expenditure for loans,0
2012,expenditure,Ministries and Departments,"Communications, Posts And Telegraphs",Investment in Orgs,0
2012,expenditure,Ministries and Departments,"Communications, Posts And Telegraphs",Investment in Orgs,0
2012,expenditure,Ministries and Departments,"Communications, Posts And Telegraphs",Savings,0
2012,expenditure,Ministries and Departments,"Communications, Posts And Telegraphs",Savings,0
2012,expenditure,Ministries and Departments,Construction,General Expenditure,263818.9779
2012,expenditure,Ministries and Departments,Construction,General Expenditure,7672.1
2012,expenditure,Ministries and Departments,Construction,Interest payments,0
2012,expenditure,Ministries and Departments,Construction,Interest payments,0
2012,expenditure,Ministries and Departments,Construction,Aid,0
2012,expenditure,Ministries and Departments,Construction,Aid,0
2012,expenditure,Ministries and Departments,Construction,Capital Expenditure,314205.0002
2012,expenditure,Ministries and Departments,Construction,Capital Expenditure,273503.498
2012,expenditure,Ministries and Departments,Construction,Borrowing,0
2012,expenditure,Ministries and Departments,Construction,Borrowing,0
2012,expenditure,Ministries and Departments,Construction,Expenditure for loans,15
2012,expenditure,Ministries and Departments,Construction,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Construction,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Construction,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Construction,Savings,0
2012,expenditure,Ministries and Departments,Construction,Savings,0
2012,expenditure,Ministries and Departments,Culture,General Expenditure,3241.40413
2012,expenditure,Ministries and Departments,Culture,General Expenditure,92.194
2012,expenditure,Ministries and Departments,Culture,Interest payments,0
2012,expenditure,Ministries and Departments,Culture,Interest payments,0
2012,expenditure,Ministries and Departments,Culture,Aid,0.025
2012,expenditure,Ministries and Departments,Culture,Aid,0
2012,expenditure,Ministries and Departments,Culture,Capital Expenditure,2512.59204
2012,expenditure,Ministries and Departments,Culture,Capital Expenditure,144.913
2012,expenditure,Ministries and Departments,Culture,Borrowing,0
2012,expenditure,Ministries and Departments,Culture,Borrowing,0
2012,expenditure,Ministries and Departments,Culture,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Culture,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Culture,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Culture,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Culture,Savings,0
2012,expenditure,Ministries and Departments,Culture,Savings,0
2012,expenditure,Ministries and Departments,Defence,General Expenditure,450520.218
2012,expenditure,Ministries and Departments,Defence,General Expenditure,0
2012,expenditure,Ministries and Departments,Defence,Interest payments,0
2012,expenditure,Ministries and Departments,Defence,Interest payments,0
2012,expenditure,Ministries and Departments,Defence,Aid,0
2012,expenditure,Ministries and Departments,Defence,Aid,0
2012,expenditure,Ministries and Departments,Defence,Capital Expenditure,868058.482
2012,expenditure,Ministries and Departments,Defence,Capital Expenditure,91069.674
2012,expenditure,Ministries and Departments,Defence,Borrowing,0
2012,expenditure,Ministries and Departments,Defence,Borrowing,0
2012,expenditure,Ministries and Departments,Defence,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Defence,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Defence,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Defence,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Defence,Savings,0
2012,expenditure,Ministries and Departments,Defence,Savings,0
2012,expenditure,Ministries and Departments,Education,General Expenditure,274480.579
2012,expenditure,Ministries and Departments,Education,General Expenditure,381.82
2012,expenditure,Ministries and Departments,Education,Interest payments,0
2012,expenditure,Ministries and Departments,Education,Interest payments,0
2012,expenditure,Ministries and Departments,Education,Aid,0.4321
2012,expenditure,Ministries and Departments,Education,Aid,0
2012,expenditure,Ministries and Departments,Education,Capital Expenditure,35538.867
2012,expenditure,Ministries and Departments,Education,Capital Expenditure,0
2012,expenditure,Ministries and Departments,Education,Borrowing,0
2012,expenditure,Ministries and Departments,Education,Borrowing,0
2012,expenditure,Ministries and Departments,Education,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Education,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Education,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Education,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Education,Savings,0
2012,expenditure,Ministries and Departments,Education,Savings,0
2012,expenditure,Ministries and Departments,Electric Power,General Expenditure,175717.39
2012,expenditure,Ministries and Departments,Electric Power,General Expenditure,0
2012,expenditure,Ministries and Departments,Electric Power,Interest payments,44.4
2012,expenditure,Ministries and Departments,Electric Power,Interest payments,0
2012,expenditure,Ministries and Departments,Electric Power,Aid,0
2012,expenditure,Ministries and Departments,Electric Power,Aid,0
2012,expenditure,Ministries and Departments,Electric Power,Capital Expenditure,63977.39139
2012,expenditure,Ministries and Departments,Electric Power,Capital Expenditure,0
2012,expenditure,Ministries and Departments,Electric Power,Borrowing,0
2012,expenditure,Ministries and Departments,Electric Power,Borrowing,0
2012,expenditure,Ministries and Departments,Electric Power,Expenditure for loans,1329.721
2012,expenditure,Ministries and Departments,Electric Power,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Electric Power,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Electric Power,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Electric Power,Savings,0
2012,expenditure,Ministries and Departments,Electric Power,Savings,0
2012,expenditure,Ministries and Departments,Electric Power No.(2),General Expenditure,267612.146
2012,expenditure,Ministries and Departments,Electric Power No.(2),General Expenditure,29711.272
2012,expenditure,Ministries and Departments,Electric Power No.(2),Interest payments,0
2012,expenditure,Ministries and Departments,Electric Power No.(2),Interest payments,0
2012,expenditure,Ministries and Departments,Electric Power No.(2),Aid,0
2012,expenditure,Ministries and Departments,Electric Power No.(2),Aid,0
2012,expenditure,Ministries and Departments,Electric Power No.(2),Capital Expenditure,161214.103
2012,expenditure,Ministries and Departments,Electric Power No.(2),Capital Expenditure,0
2012,expenditure,Ministries and Departments,Electric Power No.(2),Borrowing,0
2012,expenditure,Ministries and Departments,Electric Power No.(2),Borrowing,0
2012,expenditure,Ministries and Departments,Electric Power No.(2),Expenditure for loans,35.363
2012,expenditure,Ministries and Departments,Electric Power No.(2),Expenditure for loans,0
2012,expenditure,Ministries and Departments,Electric Power No.(2),Investment in Orgs,0
2012,expenditure,Ministries and Departments,Electric Power No.(2),Investment in Orgs,0
2012,expenditure,Ministries and Departments,Electric Power No.(2),Savings,0
2012,expenditure,Ministries and Departments,Electric Power No.(2),Savings,0
2012,expenditure,Ministries and Departments,Energy,General Expenditure,996550.849
2012,expenditure,Ministries and Departments,Energy,General Expenditure,99895.494
2012,expenditure,Ministries and Departments,Energy,Interest payments,0
2012,expenditure,Ministries and Departments,Energy,Interest payments,0
2012,expenditure,Ministries and Departments,Energy,Aid,0
2012,expenditure,Ministries and Departments,Energy,Aid,0
2012,expenditure,Ministries and Departments,Energy,Capital Expenditure,12089.04112
2012,expenditure,Ministries and Departments,Energy,Capital Expenditure,63.087
2012,expenditure,Ministries and Departments,Energy,Borrowing,0
2012,expenditure,Ministries and Departments,Energy,Borrowing,0
2012,expenditure,Ministries and Departments,Energy,Expenditure for loans,236.1735
2012,expenditure,Ministries and Departments,Energy,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Energy,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Energy,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Energy,Savings,0
2012,expenditure,Ministries and Departments,Energy,Savings,0
2012,expenditure,Ministries and Departments,Environmental Conservation and Forestry,General Expenditure,137497.831
2012,expenditure,Ministries and Departments,Environmental Conservation and Forestry,General Expenditure,0
2012,expenditure,Ministries and Departments,Environmental Conservation and Forestry,Interest payments,0
2012,expenditure,Ministries and Departments,Environmental Conservation and Forestry,Interest payments,0
2012,expenditure,Ministries and Departments,Environmental Conservation and Forestry,Aid,0.92
2012,expenditure,Ministries and Departments,Environmental Conservation and Forestry,Aid,0
2012,expenditure,Ministries and Departments,Environmental Conservation and Forestry,Capital Expenditure,4966.62139
2012,expenditure,Ministries and Departments,Environmental Conservation and Forestry,Capital Expenditure,0
2012,expenditure,Ministries and Departments,Environmental Conservation and Forestry,Borrowing,0
2012,expenditure,Ministries and Departments,Environmental Conservation and Forestry,Borrowing,0
2012,expenditure,Ministries and Departments,Environmental Conservation and Forestry,Expenditure for loans,0.6
2012,expenditure,Ministries and Departments,Environmental Conservation and Forestry,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Environmental Conservation and Forestry,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Environmental Conservation and Forestry,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Environmental Conservation and Forestry,Savings,0
2012,expenditure,Ministries and Departments,Environmental Conservation and Forestry,Savings,0
2012,expenditure,Ministries and Departments,Finance and Revenue,General Expenditure,469781.4682
2012,expenditure,Ministries and Departments,Finance and Revenue,General Expenditure,16591.529
2012,expenditure,Ministries and Departments,Finance and Revenue,Interest payments,369832.154
2012,expenditure,Ministries and Departments,Finance and Revenue,Interest payments,96565.996
2012,expenditure,Ministries and Departments,Finance and Revenue,Aid,83415.7886
2012,expenditure,Ministries and Departments,Finance and Revenue,Aid,0
2012,expenditure,Ministries and Departments,Finance and Revenue,Capital Expenditure,9447.52039
2012,expenditure,Ministries and Departments,Finance and Revenue,Capital Expenditure,438.656
2012,expenditure,Ministries and Departments,Finance and Revenue,Borrowing,0
2012,expenditure,Ministries and Departments,Finance and Revenue,Borrowing,0
2012,expenditure,Ministries and Departments,Finance and Revenue,Expenditure for loans,123.255
2012,expenditure,Ministries and Departments,Finance and Revenue,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Finance and Revenue,Investment in Orgs,17.5
2012,expenditure,Ministries and Departments,Finance and Revenue,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Finance and Revenue,Savings,0.2
2012,expenditure,Ministries and Departments,Finance and Revenue,Savings,0
2012,expenditure,Ministries and Departments,Foreign Affairs,General Expenditure,1593.5228
2012,expenditure,Ministries and Departments,Foreign Affairs,General Expenditure,132.24
2012,expenditure,Ministries and Departments,Foreign Affairs,Interest payments,0
2012,expenditure,Ministries and Departments,Foreign Affairs,Interest payments,0
2012,expenditure,Ministries and Departments,Foreign Affairs,Aid,29.08
2012,expenditure,Ministries and Departments,Foreign Affairs,Aid,0
2012,expenditure,Ministries and Departments,Foreign Affairs,Capital Expenditure,686.04052
2012,expenditure,Ministries and Departments,Foreign Affairs,Capital Expenditure,50.15
2012,expenditure,Ministries and Departments,Foreign Affairs,Borrowing,0
2012,expenditure,Ministries and Departments,Foreign Affairs,Borrowing,0
2012,expenditure,Ministries and Departments,Foreign Affairs,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Foreign Affairs,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Foreign Affairs,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Foreign Affairs,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Foreign Affairs,Savings,0
2012,expenditure,Ministries and Departments,Foreign Affairs,Savings,0
2012,expenditure,Ministries and Departments,Health,General Expenditure,65793.77869
2012,expenditure,Ministries and Departments,Health,General Expenditure,933.177
2012,expenditure,Ministries and Departments,Health,Interest payments,0
2012,expenditure,Ministries and Departments,Health,Interest payments,0
2012,expenditure,Ministries and Departments,Health,Aid,3.521
2012,expenditure,Ministries and Departments,Health,Aid,0
2012,expenditure,Ministries and Departments,Health,Capital Expenditure,25024.71039
2012,expenditure,Ministries and Departments,Health,Capital Expenditure,253.6
2012,expenditure,Ministries and Departments,Health,Borrowing,0
2012,expenditure,Ministries and Departments,Health,Borrowing,0
2012,expenditure,Ministries and Departments,Health,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Health,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Health,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Health,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Health,Savings,0
2012,expenditure,Ministries and Departments,Health,Savings,0
2012,expenditure,Ministries and Departments,Home Affairs,General Expenditure,7845.05404
2012,expenditure,Ministries and Departments,Home Affairs,General Expenditure,7326.554
2012,expenditure,Ministries and Departments,Home Affairs,Interest payments,0
2012,expenditure,Ministries and Departments,Home Affairs,Interest payments,0
2012,expenditure,Ministries and Departments,Home Affairs,Aid,0.57018
2012,expenditure,Ministries and Departments,Home Affairs,Aid,0
2012,expenditure,Ministries and Departments,Home Affairs,Capital Expenditure,42237.6129
2012,expenditure,Ministries and Departments,Home Affairs,Capital Expenditure,18107.002
2012,expenditure,Ministries and Departments,Home Affairs,Borrowing,0
2012,expenditure,Ministries and Departments,Home Affairs,Borrowing,0
2012,expenditure,Ministries and Departments,Home Affairs,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Home Affairs,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Home Affairs,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Home Affairs,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Home Affairs,Savings,0
2012,expenditure,Ministries and Departments,Home Affairs,Savings,0
2012,expenditure,Ministries and Departments,Hotel and Tourism,General Expenditure,4459.362
2012,expenditure,Ministries and Departments,Hotel and Tourism,General Expenditure,15.905
2012,expenditure,Ministries and Departments,Hotel and Tourism,Interest payments,0
2012,expenditure,Ministries and Departments,Hotel and Tourism,Interest payments,0
2012,expenditure,Ministries and Departments,Hotel and Tourism,Aid,0.21
2012,expenditure,Ministries and Departments,Hotel and Tourism,Aid,0
2012,expenditure,Ministries and Departments,Hotel and Tourism,Capital Expenditure,36.27477
2012,expenditure,Ministries and Departments,Hotel and Tourism,Capital Expenditure,0
2012,expenditure,Ministries and Departments,Hotel and Tourism,Borrowing,0
2012,expenditure,Ministries and Departments,Hotel and Tourism,Borrowing,0
2012,expenditure,Ministries and Departments,Hotel and Tourism,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Hotel and Tourism,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Hotel and Tourism,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Hotel and Tourism,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Hotel and Tourism,Savings,0
2012,expenditure,Ministries and Departments,Hotel and Tourism,Savings,0
2012,expenditure,Ministries and Departments,Immigration and Populations,General Expenditure,2442.641
2012,expenditure,Ministries and Departments,Immigration and Populations,General Expenditure,189.14
2012,expenditure,Ministries and Departments,Immigration and Populations,Interest payments,0
2012,expenditure,Ministries and Departments,Immigration and Populations,Interest payments,0
2012,expenditure,Ministries and Departments,Immigration and Populations,Aid,0
2012,expenditure,Ministries and Departments,Immigration and Populations,Aid,0
2012,expenditure,Ministries and Departments,Immigration and Populations,Capital Expenditure,18.99345
2012,expenditure,Ministries and Departments,Immigration and Populations,Capital Expenditure,5.564
2012,expenditure,Ministries and Departments,Immigration and Populations,Borrowing,0
2012,expenditure,Ministries and Departments,Immigration and Populations,Borrowing,0
2012,expenditure,Ministries and Departments,Immigration and Populations,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Immigration and Populations,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Immigration and Populations,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Immigration and Populations,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Immigration and Populations,Savings,0
2012,expenditure,Ministries and Departments,Immigration and Populations,Savings,0
2012,expenditure,Ministries and Departments,Industry,General Expenditure,320133.3977
2012,expenditure,Ministries and Departments,Industry,General Expenditure,0
2012,expenditure,Ministries and Departments,Industry,Interest payments,0
2012,expenditure,Ministries and Departments,Industry,Interest payments,0
2012,expenditure,Ministries and Departments,Industry,Aid,0
2012,expenditure,Ministries and Departments,Industry,Aid,0
2012,expenditure,Ministries and Departments,Industry,Capital Expenditure,99725.87516
2012,expenditure,Ministries and Departments,Industry,Capital Expenditure,0
2012,expenditure,Ministries and Departments,Industry,Borrowing,0
2012,expenditure,Ministries and Departments,Industry,Borrowing,0
2012,expenditure,Ministries and Departments,Industry,Expenditure for loans,633.87549
2012,expenditure,Ministries and Departments,Industry,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Industry,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Industry,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Industry,Savings,0
2012,expenditure,Ministries and Departments,Industry,Savings,0
2012,expenditure,Ministries and Departments,Information,General Expenditure,21119.3578
2012,expenditure,Ministries and Departments,Information,General Expenditure,4120.834
2012,expenditure,Ministries and Departments,Information,Interest payments,0
2012,expenditure,Ministries and Departments,Information,Interest payments,0
2012,expenditure,Ministries and Departments,Information,Aid,0
2012,expenditure,Ministries and Departments,Information,Aid,0
2012,expenditure,Ministries and Departments,Information,Capital Expenditure,5730.56532
2012,expenditure,Ministries and Departments,Information,Capital Expenditure,0
2012,expenditure,Ministries and Departments,Information,Borrowing,0
2012,expenditure,Ministries and Departments,Information,Borrowing,0
2012,expenditure,Ministries and Departments,Information,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Information,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Information,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Information,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Information,Savings,0
2012,expenditure,Ministries and Departments,Information,Savings,0
2012,expenditure,Ministries and Departments,"Labour, Employment and Social Security ",General Expenditure,6251.0866
2012,expenditure,Ministries and Departments,"Labour, Employment and Social Security ",General Expenditure,2089.716
2012,expenditure,Ministries and Departments,"Labour, Employment and Social Security ",Interest payments,0
2012,expenditure,Ministries and Departments,"Labour, Employment and Social Security ",Interest payments,0
2012,expenditure,Ministries and Departments,"Labour, Employment and Social Security ",Aid,0.15
2012,expenditure,Ministries and Departments,"Labour, Employment and Social Security ",Aid,0
2012,expenditure,Ministries and Departments,"Labour, Employment and Social Security ",Capital Expenditure,512.96222
2012,expenditure,Ministries and Departments,"Labour, Employment and Social Security ",Capital Expenditure,0
2012,expenditure,Ministries and Departments,"Labour, Employment and Social Security ",Borrowing,0
2012,expenditure,Ministries and Departments,"Labour, Employment and Social Security ",Borrowing,0
2012,expenditure,Ministries and Departments,"Labour, Employment and Social Security ",Expenditure for loans,0
2012,expenditure,Ministries and Departments,"Labour, Employment and Social Security ",Expenditure for loans,0
2012,expenditure,Ministries and Departments,"Labour, Employment and Social Security ",Investment in Orgs,0
2012,expenditure,Ministries and Departments,"Labour, Employment and Social Security ",Investment in Orgs,0
2012,expenditure,Ministries and Departments,"Labour, Employment and Social Security ",Savings,0
2012,expenditure,Ministries and Departments,"Labour, Employment and Social Security ",Savings,0
2012,expenditure,Ministries and Departments,Livestock and Fisheries,General Expenditure,46114.67433
2012,expenditure,Ministries and Departments,Livestock and Fisheries,General Expenditure,0
2012,expenditure,Ministries and Departments,Livestock and Fisheries,Interest payments,0
2012,expenditure,Ministries and Departments,Livestock and Fisheries,Interest payments,0
2012,expenditure,Ministries and Departments,Livestock and Fisheries,Aid,0.595
2012,expenditure,Ministries and Departments,Livestock and Fisheries,Aid,0
2012,expenditure,Ministries and Departments,Livestock and Fisheries,Capital Expenditure,4512.9522
2012,expenditure,Ministries and Departments,Livestock and Fisheries,Capital Expenditure,0
2012,expenditure,Ministries and Departments,Livestock and Fisheries,Borrowing,0
2012,expenditure,Ministries and Departments,Livestock and Fisheries,Borrowing,0
2012,expenditure,Ministries and Departments,Livestock and Fisheries,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Livestock and Fisheries,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Livestock and Fisheries,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Livestock and Fisheries,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Livestock and Fisheries,Savings,0
2012,expenditure,Ministries and Departments,Livestock and Fisheries,Savings,0
2012,expenditure,Ministries and Departments,Mines,General Expenditure,39368.1488
2012,expenditure,Ministries and Departments,Mines,General Expenditure,48000.498
2012,expenditure,Ministries and Departments,Mines,Interest payments,0
2012,expenditure,Ministries and Departments,Mines,Interest payments,0
2012,expenditure,Ministries and Departments,Mines,Aid,0
2012,expenditure,Ministries and Departments,Mines,Aid,0
2012,expenditure,Ministries and Departments,Mines,Capital Expenditure,486.9431
2012,expenditure,Ministries and Departments,Mines,Capital Expenditure,0
2012,expenditure,Ministries and Departments,Mines,Borrowing,0
2012,expenditure,Ministries and Departments,Mines,Borrowing,0
2012,expenditure,Ministries and Departments,Mines,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Mines,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Mines,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Mines,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Mines,Savings,0
2012,expenditure,Ministries and Departments,Mines,Savings,0
2012,expenditure,Ministries and Departments,National Planning and Economic Development,General Expenditure,6573.64385
2012,expenditure,Ministries and Departments,National Planning and Economic Development,General Expenditure,273.252
2012,expenditure,Ministries and Departments,National Planning and Economic Development,Interest payments,0
2012,expenditure,Ministries and Departments,National Planning and Economic Development,Interest payments,0
2012,expenditure,Ministries and Departments,National Planning and Economic Development,Aid,2.2893
2012,expenditure,Ministries and Departments,National Planning and Economic Development,Aid,0.05
2012,expenditure,Ministries and Departments,National Planning and Economic Development,Capital Expenditure,5467
2012,expenditure,Ministries and Departments,National Planning and Economic Development,Capital Expenditure,0
2012,expenditure,Ministries and Departments,National Planning and Economic Development,Borrowing,0
2012,expenditure,Ministries and Departments,National Planning and Economic Development,Borrowing,0
2012,expenditure,Ministries and Departments,National Planning and Economic Development,Expenditure for loans,0
2012,expenditure,Ministries and Departments,National Planning and Economic Development,Expenditure for loans,0
2012,expenditure,Ministries and Departments,National Planning and Economic Development,Investment in Orgs,0
2012,expenditure,Ministries and Departments,National Planning and Economic Development,Investment in Orgs,0
2012,expenditure,Ministries and Departments,National Planning and Economic Development,Savings,0
2012,expenditure,Ministries and Departments,National Planning and Economic Development,Savings,0
2012,expenditure,Ministries and Departments,Pension and Rewards,General Expenditure,39028.072
2012,expenditure,Ministries and Departments,Pension and Rewards,General Expenditure,0
2012,expenditure,Ministries and Departments,Pension and Rewards,Interest payments,0
2012,expenditure,Ministries and Departments,Pension and Rewards,Interest payments,0
